text,label
"Dear Vince,I hope you are well. I am leaving Risk at the  end of next week and before I leave I am producing the mathematics for energy  derivatives training course. I have written a programme and attached it to this  email and I wondered whether you could have a look at it and let me know what  you think. I also wondered whether you would be interested in speaking at the  course.I will give you a call on Monday to  it.Best regards,Vicky",Formal
"So that we can verify payroll status, please send us the master list with any changes you have made this afternoon. Thanks,Anne and Sarah",Neutral
"The information contained herein is based on sources that we believe to bereliable, but we do not represent that it is accurate or complete.  Nothingcontained herein should be considered as an offer to sell or a solicitationof an offer to buy any financial instruments discussed herein.  Anyopinions expressed herein are solely those of the author.  As such, theymay differ in material respects from those of, or expressed or published byon behalf of Carr Futures or its officers, directors, employees oraffiliates.    Carr FuturesThe charts are now available on the web by clicking on the hot link(s)contained in this email. If for any reason you are unable to receive thecharts via the web, please contact me via email and I will email the chartsto you as attachments.",Very Formal
"Scott, I apologize that no one talked to you before this one went out.  I assumed that Marty or Dan had spoken to you as we discussed this initial change; however, I take full responsibility.  I will guarantee it won't happen again.  My understanding is that you have been a significant contributor to EES strategy and success.  You can count on a lot more discussion about which markets and products are core in the few weeks and you will be leading a market opportunity.  I have asked Kay to set up some time for us to discuss the market and the future next week.  If that is not soon enough, I am around all day today. RegardsDelainey",Formal
"I just heard from Matt Back in Assemblyman John Campbell's office.  Ken has an appointment at :  : following the meeting with Hertzberg.  Jim Brulte is scheduled at :  that morning, but they would only give me  minutes.  I am trying to schedule John Burton at : as they will be in the same building.  I have left another message for David Cox's scheduler.Governor Davis' office was incredulous that no one from Enron was attending his meeting.  But, she said she would call me back to try to schedule something.Rosie",Formal
Please send me any calendar updates on a weekly basis so that I can keep it current.Thank you.,Formal
"Karen,Here is the market wrap for this week. Please take a look at it and let me know.thanks,Monika",Formal
"Hi Vince,How are you.  It was really a pleasure meeting you and talking to you atthe Toronto energy derivative conference.  Thank you for speaking withme about the possibility of visiting your research group.  It will begreat if I could have such opportunity whenever you see your schedulefits.  I am very much open for the last week of July and early August.I'm looking forward to hearing from you soon.Best,Shijie",Formal
Pls route Mary Kay and I on the next draft of the policy.  Rod mentioned this morning that a new version would be coming out soon.  Thanks df,Informal
"Anne:I'm slightly embarrassed to be asking you this, but there was one gift from Baby Gap that we can't seem to figure out who the ""giver"" was, and we've narrowed it down to a group that includes you.  It was  outfits with animal patterns on it.  Are you the mystery giver?Alos, again I just wanted to say congratulations again on your engagement.  I am really happy for you and Trushar and wish you all the best.  I will try to see if we can get together for lunch before I leave.Carol",Neutral
"Please find attached the latest, and what should be the final for the immediate period of time, copy of the marketing list. Please filter the PA column by your name to doublecheck against the list you are currently working off of. There are some smaller subsids of larger companies previously assigned now listed. I pulled these subs in from the credit preapproval list. I will be passing out draft contracts folders for these counterparties tomorrow to the people responsible for the respective parent companies.There are some companies on your lists that do not have draft packets. These companies have NOT been preapproved by credit, but credit is working on them now. Continue to call these customers regarding password applications, but do not promise that the ISDA documents, etc. are immediately forthcoming until we receive those worksheets from credit.Please continue to pass on both the pa information and the draft packets as you receive the correct contact info. If you have any questions at all, please call me at  or come by my desk at  in the rotunda.Thank you,Jennifer McQuade",Very Formal
"Carla Hoffman put a deal under an inactivated CP.  Can you check it out.  We should not be using inactivated CPs, and its an east CP.  Thanks for your help.",Neutral
"Richard:In reviewing our ISDA forms we had the following questions for you with respect to the arbitration and process agent language:. Do any changes need to be made to our arbitration language?  I have enclosed what we currently use.  Also, should we keep in waiver of jury trial even if arbitration is chosen for situations where the award needs to be enforced in court?  Is it necessary to have a statement that the award can be enforced in court?. We have assumed that there is no need to add our appointment of process agent language if our counterparty is either organized in the US or Canada or maintains a branch or office in the US or Canada.  Is this a correct assumption?  Enclosed is our process agent language.I look forward to hearing from you.  As we discussed last week, we will arrange a time that you can talk generally to our group about arbitration issues and questions.Carol",Formal
"This deal looks to me like it needs to be confirmed, but it was marked no confirm.  Do you know of a reason why it shouldn't be confirmed?  If not, I need a contact name so that i can send out a letter on it.Thanks!Kim",Formal
"I was sent a password but have missplaced it. Could you email me a password please.Thank you,",Formal
I have added a folder in excel to keep track of vacation and customer outings etc..  You can find this folder in .  That is all!!,Informal
"HiDonald is having an access violation when he tries to run the Path Confirmation Report. Vish is aware of this, and wants to do some investigating tomorrow, but I don't know if Donald will have time.  Maybe you can do this with Vish and Donald's Passwords?Stacy still has performance issues running the report launcher locally.I am just ducky.",Informal
"Please note that Chris Calger is in a meeting with a customer in Mt. Hood, so...the Open Enrollment for Benefits Brown Bag meeting has been moved to Mt. St. Helens (located in the NE corner of the office, behind the Volume Management group).",Informal
"Hi Everyone,We only have FOUR (yes, !) people signed up for the Deans' Dinner onTuesday, February !  This is a great opportunity to talk with Dean Tysonin a small informal environment, and I hope more of you will take advantageof this opportunity.Pleaes stop by the office to sign up!Cheers,Diane",Neutral
Just wanted you to know that I'm thinking of you and hope you come out ok in all this.  My best to Melissa and the girls.  Dari,Informal
opps I read it wrong.  Darn.,Very Informal
"Thanks,  me and three guys in trading were laughing so hard that we were nearly crying.",Very Informal
"Chris:Attached is Change Order # for your review. It would probably be a good idea if you executed it rather than Janet since it pertains to one of your projects. If you have any issues / changes / questions, let me know. Also let me know if you need any assistance regarding the DASH for this change order.Regards,Ben",Formal
"Updated questions and answers for Enron employees have just been posted toWe recognize that as active employees you have special concerns and questions related to Enron's bankruptcy filing.  We regret that we are not able to answer all of your questions as quickly as you deserve, but we are working to provide accurate responses to your most important questions about employee benefits, expense payments and so on.  We appreciate your patience as we continue to try to provide timely and reliable information to you.",Formal
The original message is encrypted using Lotus Notes Public and Private Key security.  Encrypted messages cannot be migrated to Microsoft Exchange Server.,Formal
No problem.  Thanks for your help.Errol,Formal
"Alan, You should have received updated numbers from Keith Holst.  Call me if you did not receive them.Phillip",Formal
"Tana,Mr. Jones is very interested in meeting Ms. Jones so if you are still willing we are on for Friday?????Genia",Informal
Ken:This looks fine to me.  Where do we go from here?Mark,Neutral
"Hi there,We plan to sign on the dotted line with NorthWestern today.  MKahn (who works through lunch, don't you know) is turning the final draft of the letter agreement.  Kay",Formal
"Trade press, recruiting firms and others recently have made numerous calls to Enron employees seeking information about the company, its employees and other matters.  In some cases, these callers have used false identities, as in, ""I'm from the SEC and I need you to provide me with?""If you receive a call from someone identifying themselves as part of a government organization, please refer the caller to the legal department.  Please refer calls from the trade press and other media inquiries to the Public Relations group.  And otherwise, please treat Enron information as confidential.Thank you.",Formal
you fucker that's my trade.   i was trying to buy nines the last  minutes.  all i got was scraps.  .  i think it's a great trade.,Very Informal
"Dear Jeff, Several months ago I sent you an Email describing  my personal situation in the EBS work force reduction.You may recall that I relocated in March  from  New York City. I left my job with AT&T of  years, sold my  home and moved my family to Houston with the promise of opportunity and growth  at EBS.As we are both aware, due to decline in the  telecommunications industry, EBS had to release % of it's work force. I  harbor no ill feelings towards EBS or Enron because I realize this is an  industry wide problem.I have been unsuccessful at gaining employment up  to this point. The severance package I received from EBS is running  out. I guess I am asking you if there is anything  available in Enron corp for me? I am willing to pursue a career in a different  area.  I am attaching my resume for your  review. Any help you can provide would be greatly  appreciated. Thank you, Rob Picciotto",Formal
"Per our conversation, attached is your bid form.",Formal
"Attached is a newly revised Credit Watch listing.  If there are any personnel in your group that were not included in this distribution, please insure that they receive a copy of this report.To add additional people to this distribution, or if this report has been sent to you in error, please contact Veronica Espinoza at x.For other questions, please contact Bill Bradford at x, Russell Diamond at x, Brant Reves at x, or Veronica Espinoza at x.",Formal
"Jeff,Did you get my mail regarding materials costs?Please let me know.Thanks,Best Wishes,Jim D.",Formal
"While I don't truly fear you becoming a bitter individual as a result of these negative experiences, I do feel the highlighted section below is now more appropriate than ever.One must keep their eyes open and use all of the wisdom they possess when they trust.  Just as I suggested that positive experiences can cause one's level of trust to grow exponentially, negative experiences can cause irreparable harm.  If you trust blindly or too willingly and that trust is violated it colours every aspect of your life.  There are too many people in this world that have become bitter and cynical, not because they were born that way but, because they handed out trust haphazardly and too many times that trust was thrown back in their face.  I don't mean to suggest from the above that one should live in a daytoday mindset of distrust but rather that they must really look at people and all the aspects which they posses.  I have come to the conclusion that if you spend most of your time observing and listening to people rather than always taking the lead you will learn a great deal more about them and their character.  The smallest acts and statements can in fact say the most, so always be observant. (This includes listening to what others have to say and paying attention to the opinions of people whom you respect.)To that end I have one last comment...I am constantly amazed and periodically reminded what fragile creatures we humans are.  That beyond the hype and selfgrandizing the basic components of ourselves (our experiences, fears, cares, concerns, needs etc.) cannot be completely disregarded and will always be a part of us.  I think that only by recognizing those components and trying to understand their origin can we truly become stronger.",Informal
"As announced earlier, we will be bringing all Managing Directors together, on a quarterly basis.  Please hold open the first Monday of every quarter (from : a.m. to : p.m.) for this purpose.  However, our first meeting will be on Tuesday, October nd.  I look forward to seeing you there.",Formal
we're done for sunday @ : at cypress lakes.  do you know anyone else who will play?,Informal
"Mike,Mary Cook is a new attorney that joined our Group yesterday.  Can you get her full access to the referenced database, and let us know when such access is granted.Thanks!",Formal
"High .....merry christmas.  Thanks for the note.  Sorry for the delay in replying.  My blackberry does not work in Canada believe it or not.  I was on the phone with tech help....and we discovered this...what a pain.Hope the holidays have treated you well... I am planning on going to work on. Weds but from what I hear not much going on.  Still a few co's kicking tires....Keep you posted as I hear.  Cheers, BT.....m",Informal
My techy's going to help me buy a computer.  I'm thinking of buying a Dell Pent III  Mhz with a bunch of other stuff I know nothing about and an HP?? color printer.  I was also going to buy a digital camera and start taking a lot more family photo's and save them to disk.  What do you think?I was also going to try and create a home page and keep track of the stuff I plan on doing.  st up is Hang Gliding the first weekend in March.  I have not registered yet.  Cool huh?  Time for my free meal  :o)SEE YA!Comments/ suggestions?,Very Informal
"So what is this ""living in a hotel"" shit?",Very Informal
What do you think about this strategy?  Maybe we should have Deb call Marion and review the list of hotels where Enron has a corporate rate and ask her opinion regarding which ones she would recommend.  Maybe at that point she would volunteer her flat?,Neutral
"Jeremy,I don't have access to run this book.  Will you please get me authorization?  Thanks.DG",Formal
"This is just to be helpful, not anal! Here are some suggestions forpacking. Please note that I already made up a first aid kit for us, sodon't worry about medicines, BandAids, etc. Yes, I know I've thought ofeverything. See you manana! Chao!Matt, everything ok inside? I have some Tums in the med kit, but no GasX.Also, my friend Kim Evans (works at Continental)  is traveling to Italy atthe same time and is trying to work her jelly to get on our flight oranother airline with similar times. She's trying to work it to spend a dayor so in Madrid with us.",Informal
"Group,David Porter will be moving to the Utility Risk Management group with Enron Energy Services beginning Tuesday October . Please join me in thanking David for his effort in the realtime group over the past year (especially the hour long shift), and wishing him good luck in his new position.Stay tuned for a ""going away"" party for Dave in the near future.Bill",Formal
Fabian:You can find actual performance data on DealBench atPlease let me know if you have any other questions.  Thanks!Ben,Formal
call me when you get a chance.  they have the wrong ext. for you on voice activation thing.,Informal
"Yeah dude I bet you got a lot of operational management and statistical business analysis as well as spreadsheet work with that Poli Sci degree.  At least the group projects will enable you to meet some people.  Are you still thinking about getting a job tending bar or something or do you think you won't have enough time?  good to hear you are coming up in a few weeks.  I would definetly like to go out with you guys on Thursday night. That Friday night i already have plans but maybe we can go play some golf on Friday afternoon.  I played in a tournament with some people at work out at the Reserve last week.  Boy is that a great course.  Our tee time was at : and we had all been out partying until am the night before.  So needless to say we weren't feeling so great come tee time. However the beers were free for the tournament and come about : we were drinking again and feeling a little better.  We all played really well and got fourth plance out of  teams.  We won these sweater vests, a sand wedge, and a Nike bag.  There was a free barbque afterward with more free beer.  So by about pm we were all totally schmatered.  It was a good time and I was playing with the guy that i want to work for in Real Time Trading.  He and I are going to lunch next week to discuss but he mentioned to me during golf that he wants me to work for him which would be a great opportunity so things are going a little better at work.  Anwyay let me know what your plans are for the week you come.  I will catch you later man.",Very Informal
"I talked to Jason and he said we'll still have Lotus Notes and only docs days and younger will be migrated.  You will be able to get to your other documents, but it would be good to go ahead and clean off your email as much as possible.  Your address book, etc. will be migrated.  I feel so much better now.  I was freaking!",Informal
"Don:I will be leaving early today to catch a flight to New Orleans for a friend's bachelor party in the Big Easy.  I will be back early on Sunday, so please leave me a message if you need anything and I will be in on Sunday.  Hope to make it back safely.  Have a good weekend. Ben",Formal
"Fri,  Aug  ::You have been  added to the CORPGEN mailing list  (Committee of CorporateGeneral Counsel  of the Business  Law Section) by BLS  List Administrator<bllserve@ABANET.ORG>.Please save this message for future  reference, especially if this is thefirst time you are subscribing to an electronic mailing list. If you everneed to leave  the list, you will find the  necessary instructions below.Perhaps  more importantly,  saving a  copy of  this message  (and of  allfuture subscription notices  from other mailing lists) in  a special mailfolder will give you instant access to the list of mailing lists that youare subscribed  to. This may  prove very useful the  next time you  go onvacation and  need to leave  the lists temporarily so  as not to  fill upyour  mailbox while  you  are away!  You should  also  save the  ""welcomemessages"" from the  list owners that you will  occasionally receive aftersubscribing to a new list.To send  a message to  all the people  currently subscribed to  the list,just send mail  to CORPGEN@MAIL.ABANET.ORG. This is  called ""sending mailto the  list,"" because  you send  mail to a  single address  and LISTSERVmakes  copies  for all  the  people  who  have subscribed.  This  address(CORPGEN@MAIL.ABANET.ORG)  is also  called the  ""list address.""  You mustnever try to send any command to that address, as it would be distributedto all the people  who have subscribed. All commands must  be sent to the""LISTSERV  address,"" LISTSERV@MAIL.ABANET.ORG.  It is  very important  tounderstand  the difference  between the  two, but  fortunately it  is notcomplicated. The LISTSERV address is like  a FAX number that connects youto  a machine,  whereas the  list  address is  like a  normal voice  lineconnecting you to a person. If you make a mistake and dial the FAX numberwhen you wanted to talk to someone on the phone, you will quickly realizethat you  used the wrong  number and call again.  No harm will  have beendone. If on the other hand  you accidentally make your FAX call someone'svoice  line,  the  person  receiving the  call  will  be  inconvenienced,especially if your FAX then redials  every  minutes. The fact that mostpeople will eventually connect the FAX machine to the voice line to allowthe FAX  to go through  and make  the calls stop  does not mean  that youshould continue to send FAXes to  the voice number. People would just getmad at you.  It works pretty much  the same way with  mailing lists, withthe difference  that you are calling  hundreds or thousands of  people atthe same  time, and consequently  you can expect a  lot of people  to getupset if you consistently send commands to the list address.You may leave the list at any time by sending a ""SIGNOFF CORPGEN"" commandto LISTSERV@MAIL.ABANET.ORG. You  can also tell LISTSERV how  you want itto confirm the  receipt of messages you  send to the list. If  you do nottrust the  system, send a ""SET  CORPGEN REPRO"" command and  LISTSERV willsend  you a  copy of  your own  messages, so  that you  can see  that themessage was distributed and did not get damaged on the way. After a whileyou  may find  that this  is getting  annoying, especially  if your  mailprogram does not  tell you that the  message is from you  when it informsyou that new  mail has arrived from  CORPGEN. If you send  a ""SET CORPGENACK  NOREPRO"" command,  LISTSERV will  mail you  a short  acknowledgementinstead, which will  look different in your mailbox  directory. With mostmail programs you  will know immediately that this  is an acknowledgementyou can read later. Finally, you can turn off acknowledgements completelywith ""SET CORPGEN NOACK NOREPRO"".Following  instructions from  the list  owner, your  subscription optionshave been  set to ""REPRO""  rather than  the usual LISTSERV  defaults. Formore  information  about subscription  options,  send  a ""QUERY  CORPGEN""command to LISTSERV@MAIL.ABANET.ORG.Contributions sent to this list are automatically archived. You can get alist of the available archive files by sending an ""INDEX CORPGEN"" commandto LISTSERV@MAIL.ABANET.ORG. You  can then order these files  with a ""GETCORPGEN LOGxxxx"" command, or using LISTSERV's database search facilities.Send an ""INFO DATABASE"" command for more information on the latter.This  list is  available  in digest  form.  If you  wish  to receive  thedigested  version  of the  postings,  just  issue  a SET  CORPGEN  DIGESTcommand.Please note that  it is presently possible for other  people to determinethat  you are  signed up  to the  list through  the use  of the  ""REVIEW""command,  which  returns   the  email  address  and  name   of  all  thesubscribers. If  you do not  want your name to  be visible, just  issue a""SET CORPGEN CONCEAL"" command.More  information on  LISTSERV  commands  can be  found  in the  LISTSERVreference  card, which  you can  retrieve  by sending  an ""INFO  REFCARD""command to LISTSERV@MAIL.ABANET.ORG.",Very Formal
"Jay,The never ending saga of Enrononline vs. NGX continues.Under our settle agreement with NGX, we (somehow) agreed to provide NGX with a password and ID that would allow them to see the products on enrononline that coincide with the index's that we are providing data to.  As a temporary solution I created a filer under my master user Id that gives them all physical Alberta gas products one month and under.  The problem is they can see the rest of month product bid/offer and the product descriptions of other Enrononline products.  Would it be possible to set up a password and user ID for enrononline that only shows the products we are contributing to?  Or at a minimum, have them set up so they have their own limited access that is not associated with my login.Call me when you get a chance ()   .Happy th of July,Jon",Formal
your resume is good enough b/c i gave it directly to the hiring people.,Informal
"I understand from Shona that you and she have discussed our plans for Doorstep Reviews in .  I am asking via this note for my assistant to set up a meeting for the two of us to spend some time reviewing the timeline, methodology, Andersen's involvement and the involvement of your team.  I will be on vacation the week of December .  I will be working the week between Christmas and New Year's, so if you are in the office we can plan on getting together that week.",Neutral
Attached for your review and comment are clean and redline versions of the Schedule and Credit Support Annex to the referenced agreement.  This draft includes the Enron Corp.'s attorney's review of your comments to the Enron Corp. Gty.   Please contact either Jason Peters at  or me if you have any questions or comments.   Susan D. Flynn,Formal
"Rumor has it that Paramount had signed up for the short term emergency firm on Kern.... not that it matters but I was wondering if that was true. If so, he may want to hedge this pipe and you guys could spin some orig off of it. TIC",Informal
Sara:What we have negotiated with Southern was limited to financial trades done under the ISDA.  This was a form that they sent to us that we revised.  It was my understanding that they were going to contact Leslie separately about EPMI physical trades and Stacy about physical gas trades.Carol.,Neutral
Norma Villarreal is the HR Generalist for all of Brent Price's group and Hector McLoughlin is the HR Generalist for all the other groups/departments under Sally Beck.   Toni Graham is the Recruiter for all of Sally Beck's group. Yvonne Laing is the Compensation Specialist for all of Sally Beck's group.Janet De La Paz is the Admin. Support Person for the HR group. I hope this helps you directs your questions or needs for services in the future.,Formal
"Please be aware that remote connectivity into the  Enron network has changed, IPASS is no longer available. Remote Connectivity into Enron may be obtained by using the eConnect solution.  Authorization to use eConnect may be requested via the eRequest system (you will find a link to eRequest on ).Email is accessible from any computer with internet connectivity by logging into Outlook Web Access  with your NT login ID and password. Accessing OWA does not require an eConnect connection.Please direct all questions or concerns to the Resolution Center at ETS customers should direct inquiries to the ETS Solution Center atWe appreciate your cooperation in advance",Very Formal
"Jeff, I love you, but I'm unhappy.  I just don't want to be criticizedanymore.  The thing is, I know you think a lot of it is funny, and I've justlost my sense of humor, but the truth is, after a while, it's just not funnyanymore.  Like when you yawned last night when I was telling a story to yourfriends.  Yes, it's funny.  But when you do it every time, after a while, itjust starts to hurt my feelings.  That's just one recent example.  You'reoften telling everybody how neurotic and fucked up I am.  Or how I'm totallyoverbearing about playing the banjo.  In fact, you just said that today tomy friends at Haas.  Do you know how embarassing that was for me?  Youshould listen to yourself when you talk about me in front of your friends ormy friends or my family.  How often do you say nice things and how often doyou criticize me?  Why don't you ask them and see what they have to say.I've tried to talk to you about it.  I asked you to spend some time tryingto say mostly nice things, just for a little while.  But apparantly, youeither can't or won't, and the end result is that I feel like you just don'tcare.  I'm sure there are things you want me to do.  I'd like to try to dothem.  But I don't know what else I can do to make you understand that Ijust can't take all the criticism from you anymore.  It makes me feel likeshit.  I don't know where else to go, Jeff.  I suggested talking to ashrink, but you're not willing to do that either.  I'm sure that half of itis my fault, and I'd like to work on this together, but you don't seem to bewilling to work on the one thing that's really hurting me and that I'veasked you to work on.  And maybe that means you need to think about how youreally feel.",Very Informal
"That looks fine.   Please forward it to Ken Zito.Thanks,Dan",Neutral
"I changed the plant stuff around, swapping most of them for Facility.  I think it is a bit more clear now.  Let me know what else needs to be done.I'll be leaving in around  to buy a bribe, I mean pumpkin, but we won't be gone long.Kay",Informal
"Here's what I found.  Pls let me know if I can help you with anything.  I checked on the bonds that we spoke with you about earlier.  The call date was in August so I just passed on it.  These look pretty good. Thanks, Julie",Informal
"Audrey,  Attached is a term sheet that Barbara Gray prepared some time back for the OE agreement.  Please review.  How does tomorrow afternoon look for you.  About : pm.",Informal
"As we discussed in this morning's call, attached please find:The handout on federal and state jurisdiction that Dan Clearfield prepared for our meeting with the commercial people last week (overview.doc); and A brief memo from Dan's firm describing the legal basis for using the % rule to determine federal/state jurisdiction (J.wpd).",Neutral
"Sara,Per your request, attached is the Annex B and Annex B, along with a form of Letter of Credit, which was e:mailed to Dale Neuner on //, for the captioned Counterparty's Omnibus Confirmation.",Very Formal
Due to the change of servers and moving of all ERMS  databases to the new locations old curve fetch files are not working properly.I got our IT guys to fix the file you gave me. Everything looks OK now.I got the new file attached.Let me know if you have any questions.Vladi,Neutral
no.  i was dead on sat night.  i was out late on fri.  it was fun.  you should have stayed out.,Very Informal
"ABB is struggling with a fundamental assignment issue.  Their concern appears to relate to assignment to a project company or contractor which might not have the financial ability to pay.  I believe they are looking for some type of security (LC, bond, guaranty).  I didn't sense that they have an issue with the identity of the assignee, just the ability to pay.Comments?Kay",Neutral
"Below are two pictures that may create a questions, the most obvious being why is calendar ZP bonkers?  Does it really deserve that backwardation? Any feedback would be great..Thanks,Frank",Informal
"Attached for your review are the fundamental operating standards and controls that have been developed by the Wholesale Services group.  These standards are to be met by all Enron offices and by each functional group within the operations process.  Qualitative standards should be viewed as the basic measures to be taken when opening a new office or trading a new commodity.  Statistics measuring compliance with quantitative standards will be monitored on a daily basis and any issues that arise will be addressed immediately.As business unit heads, you play a critical role in working with Operations to ensure that proper controls are in place and working effectively.  Please review this document and let me know if you have any questions or wish to discuss further.Regards,Brent",Formal
"of course, it's a favorite.  the lesson i learned last nightand i wouldn't be surprised if i were your only friend who learns lessons from weekday comediesis to be happy!...if you're free, let's go out tomorrow eve and have our brief woes drinks (and not wait  weeks), then put it in the past....Alexandra Saler@EES",Informal
"Hey guys ,,,, thankyou very much for the baby outfits... Heather and I both loved them......  We can't wait for you guys to meet him.......  We took him to the doctor today for his two week chk up and he weighed . lbs.  That is up over a pound....  he eats like a horse and is very healthy.... the next goal is to get him to sleep at night!Mike and Heatherperge!",Informal
"Team,Attached is an EOTT Facilities List I got from Dave Odneal.  I believe it has every EOTT facility listed on it for every state EOTT operates in.  I am sure it will be useful.Mike",Formal
"Steve, I've attached the results of the focus groups as per my notes from the meetings.  Let me know if you need anything else.",Neutral
"Good luck gang, see you on the other side.  Here is my contact info.Tom May",Informal
My mistake in raising the issue  Peter Sceats is with the broker in London who arranged the trade.,Neutral
"i will be here on fri night, but sat i am going to tim's engagement party.  i think i will be out on fri.",Informal
that is classy,Informal
"I forgot, we have a new telephone # () .  I'll pick you up on Thursdayand I'll take Friday off.  Looking forward to seeing you.KR",Informal
"Louise  Attached are the gas risk management, operational analysis,  Sitara and systems  rankings as requested.  Please let me know if there is anything else you need. Thanks, Jeff",Formal
Hey what's up?  How many people picked the Colts this weekend?  I talked to Todd Gilcrease I guess he's back.  And this time without Kimery.,Informal
"Enron Global Technology is in the process of decommissioning the support for all nonstandard Internet Email address formats. The only Internet Email address format that will be supported, once this effort is completed, is firstname.lastname@enron.com. We will no longer support Internet Email address formats such as name@enron.com, name@ect.enron.com, name@ei.enron.com  (where ""name"" is an abbreviation, acronym or alternative to an employees firstname and/or lastname). Every Enron employee has an Internet Email address of firstname.lastname@enron.com and must begin making the necessary arrangements to start using this Internet address format if they are not using it already.Any new/existing application systems or business cards that reference a nonsupported Internet Email address will need to be changed to reference the only supported firstname.lastname@enron.com Internet address format. It is important to remember to also notify any external contacts who are currently sending Internet email to any nonsupported Internet Email addresses.To determine what your supported Internet Email address is, take your name as it appears in Outlook or Lotus Notes and replace any ""spaces"" that appear in your name with periods and append @enron.com. For example in Outlook, Alan Smith, Robert (firstname = Robert, Lastname = Alan Smith) will have a supported Internet Email address of robert.alan.smith@enron.com.IMPORTANT : If you need to update your business card(s) to reflect your supported Internet Email address, please ensure you test & confirm the delivery of Internet email to your supported email address prior to updating your business cards. If you experience any issues with delivery of Internet email to your supported Internet email address, please contact the Resolution Center.We will communicate further details, including the cutoff date, in the coming weeks. Meanwhile, it is imperative that you begin making the necessary arrangements to change over to using the firstname.lastname@enron.com Internet Email address format. If you have questions regarding this email, send an Email to enron.messaging.administration@enron.com.Thank you for participation, cooperation and support. Enron Messaging Administration",Very Formal
"Hi,         I have already met with some of you to discuss longterm (exotic) options trades.           As per your request, I am attaching a ""shopping list"" of a variety of options trades that the power options desk is capable of pricing.              Please feel free to contact me if you wish to discuss these options products and how they may be used to help your clients develop customized risk management tools.   Thanks,Irisx",Informal
Attached are the revised gas purchase and gathering agreement and the new Collection Facilities Agreement.  The Collection Facilities Agreement has the insurance requirements but not the Security Documents.  I will forward the Security Doc. shortly.,Neutral
Looks good.  I vote yes.,Informal
"FolksBelow is a site with information on a proposed initiative from HarveyRosenfeld dealing with the current energy issues facing California. Thanksto Julee MalinowskiBall for the info on the site.Thanks,Delaney",Neutral
"Vince,I shipped you the paper along with my note to Don.  However, I wanted toshare with you what I feel are the remaining ""to dos"".  Specifically,.  We need to document carefully the forces that were behind the originaltransformation of Enron.  Specifically, the fallout from deregulation (takeor pay contract defaults, etc.), the impact of the losses from the oiltrading operation, the nationalization of the Peruvian pipeline, and theleveraging up to fend off the Carl Ichan takeover attempt..  We need to complete/beef up the network strategy section..  Finally, the concluding section needs to be carefully crafted to""hammer home"" the basic principles underlying the transformation.What do you think?Hope you have a great weekend.JohnJohn D. Martin",Neutral
You're very sweet.  Thank you so much.,Informal
"If your schedule permits, please join us at our Holiday Party.  Click on the attached link to launch your invitation.",Formal
"Hey:Can you send me the file that you produced of those names so I can shrink it down a little?Thanks,John",Informal
I spoke with Robert Nuernberg (inhouse legal) who acknowledged that company has authority to trade financially.  ENA will send ISDA master to company which will also offer up new resolution or legal opinion.  We can do a onemonth deal and book on our short form omnibus.  Call if you have any questions.  Sara,Neutral
